Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,AdaBoost,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.5,0.5555555555555556,0.0,1.0,0.25,0.0,0.25,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.6875,0.625,0.7638248847926267,0.8589631112997301,0.8176894180588729,0.23809523809523808,0.42857142857142855,0.00774693489074707
LongMethod,AdaBoost,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.5,0.8888888888888888,0.0,0.9642857142857143,0.0,0.25,0.25,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,0.75,0.8321812596006144,0.9472897580363377,0.889353902694674,0.14285714285714285,0.19047619047619047,0.0069806575775146484
LongMethod,AdaBoost,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.12903225806451613,0.6666666666666666,1.0,0.7777777777777778,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.9047619047619048,0.75,0.625,0.8421658986175115,0.9572979572359938,0.9090919882580143,0.11904761904761904,0.16666666666666666,0.00797724723815918
LongMethod,AdaBoost,0.5161290322580645,0.8,0.25806451612903225,0.6666666666666666,0.06451612903225806,0.3333333333333333,0.25,0.7777777777777778,0.0,0.9642857142857143,0.0,0.0,0.75,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.03571428571428571,0.8333333333333334,0.5625,0.625,0.8129800307219663,0.8913706348944533,0.839929346771069,0.21428571428571427,0.35714285714285715,0.007036685943603516
LongMethod,AdaBoost,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.9375,1.0,0.8341269841269836,0.9731816086517266,0.9567602319639585,0.047619047619047616,0.047619047619047616,0.007981300354003906
LongMethod,AdaBoost,0.5333333333333333,0.8421052631578947,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.6,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.8095238095238095,0.5,0.375,0.8198412698412698,0.887996334309266,0.8412401562425377,0.23809523809523808,0.3333333333333333,0.00797724723815918
LongMethod,AdaBoost,0.6333333333333333,1.0,0.36666666666666664,1.0,0.16666666666666666,0.8333333333333334,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8444444444444443,0.9889923308104535,0.963492920127772,0.07142857142857142,0.07142857142857142,0.006981611251831055
LongMethod,AdaBoost,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.7,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.1,0.0,0.2,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.8571428571428571,0.6875,0.625,0.7865079365079367,0.8923077476883216,0.858136625155313,0.19047619047619047,0.2857142857142857,0.009943246841430664
LongMethod,AdaBoost,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,0.7,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.75,0.8436507936507937,0.9625410642377741,0.9231672172102777,0.11904761904761904,0.11904761904761904,0.0069887638092041016
LongMethod,AdaBoost,0.5517241379310345,0.8421052631578947,0.3103448275862069,0.8181818181818182,0.1724137931034483,0.8333333333333334,0.6666666666666666,0.4444444444444444,0.5,0.9642857142857143,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.5,0.0,0.0,0.03571428571428571,0.0,0.8095238095238095,0.5625,0.375,0.7951559934318552,0.8148210122445586,0.785883283227178,0.2857142857142857,0.5238095238095238,0.009959220886230469
