Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,CART,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.14814814814814814,0.6666666666666666,0.5,0.4444444444444444,0.3333333333333333,0.9285714285714286,0.0,0.0,0.5,0.3333333333333333,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,0.07142857142857142,0.0,0.0,0.7619047619047619,0.5625,0.625,0.7641093474426809,0.7455617520181617,0.7037445554571463,0.30952380952380953,0.4523809523809524,0.004986763000488281
FeatureEnvy,CART,0.48148148148148145,0.7222222222222222,0.18518518518518517,0.5,0.1111111111111111,0.5,0.5,1.0,0.6666666666666666,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.9047619047619048,0.8125,0.75,0.8099647266313934,0.8314786671220966,0.8147828897445978,0.16666666666666666,0.35714285714285715,0.004985809326171875
FeatureEnvy,CART,0.5185185185185185,0.7777777777777778,0.25925925925925924,0.7,0.1111111111111111,0.5,0.5,0.8888888888888888,0.6666666666666666,0.8928571428571429,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.07142857142857142,0.03571428571428571,0.0,0.8571428571428571,0.6875,0.75,0.8373015873015873,0.8880966774680432,0.8533305419988815,0.16666666666666666,0.21428571428571427,0.005947113037109375
FeatureEnvy,CART,0.6071428571428571,0.9444444444444444,0.32142857142857145,0.9,0.17857142857142858,0.8333333333333334,0.5,0.7,1.0,1.0,0.0,0.0,0.5,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8477891156462587,0.9851102473553329,0.9515150912737869,0.09523809523809523,0.09523809523809523,0.004986286163330078
FeatureEnvy,CART,0.6428571428571429,1.0,0.35714285714285715,1.0,0.21428571428571427,1.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,1.0,1.0,0.8248299319727888,0.9237291468365812,0.915426130215911,0.07142857142857142,0.11904761904761904,0.0059854984283447266
FeatureEnvy,CART,0.6071428571428571,0.9444444444444444,0.35714285714285715,1.0,0.21428571428571427,1.0,1.0,0.8,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.75,0.75,0.8358843537414967,0.9357246408279148,0.8965016930757349,0.11904761904761904,0.11904761904761904,0.004986763000488281
FeatureEnvy,CART,0.6071428571428571,0.9444444444444444,0.32142857142857145,0.9,0.17857142857142858,0.8333333333333334,0.5,0.9,0.0,0.9642857142857143,0.0,0.0,0.5,0.1,0.0,0.0,0.5,0.5,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.8125,0.75,0.8163265306122446,0.8854487913519015,0.8524653938468247,0.14285714285714285,0.19047619047619047,0.00498652458190918
FeatureEnvy,CART,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.21428571428571427,1.0,1.0,0.9,1.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.9523809523809523,0.875,0.875,0.8486394557823129,0.943888105633095,0.9345882479135782,0.07142857142857142,0.11904761904761904,0.00498652458190918
FeatureEnvy,CART,0.6206896551724138,0.9473684210526315,0.3448275862068966,0.9090909090909091,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.7777777777777778,1.0,0.9642857142857143,0.0,0.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,0.875,0.8427750410509031,0.9112682204213113,0.8846176486424846,0.14285714285714285,0.19047619047619047,0.005983829498291016
FeatureEnvy,CART,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909091,0.20689655172413793,1.0,0.3333333333333333,0.8888888888888888,0.0,0.9642857142857143,0.3333333333333333,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.5,0.5,0.0,0.03571428571428571,0.0,0.0,0.8571428571428571,0.6875,0.75,0.7951559934318556,0.8024494476994578,0.7691706988598334,0.21428571428571427,0.40476190476190477,0.00602269172668457
