Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,CoordinateAscent,0.5925925925925926,0.8888888888888888,0.37037037037037035,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.125,0.5471781305114642,nan,nan,0.6428571428571429,1.3571428571428572,1.1284677982330322
FeatureEnvy,CoordinateAscent,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1111111111111111,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.25,0.5577601410934746,nan,nan,0.6428571428571429,1.3571428571428572,1.4724609851837158
FeatureEnvy,CoordinateAscent,0.5925925925925926,0.8888888888888888,0.37037037037037035,1.0,0.2222222222222222,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.125,0.4872134038800705,nan,nan,0.6428571428571429,1.3571428571428572,1.208601951599121
FeatureEnvy,CoordinateAscent,0.5714285714285714,0.8888888888888888,0.35714285714285715,1.0,0.14285714285714285,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.125,0.5450680272108845,nan,nan,0.6666666666666666,1.4285714285714286,1.1548402309417725
FeatureEnvy,CoordinateAscent,0.6071428571428571,0.9444444444444444,0.35714285714285715,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.5663265306122452,nan,nan,0.6666666666666666,1.4285714285714286,1.1922416687011719
FeatureEnvy,CoordinateAscent,0.5357142857142857,0.8333333333333334,0.35714285714285715,1.0,0.17857142857142858,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.125,0.4260204081632652,nan,nan,0.6666666666666666,1.4285714285714286,1.2839343547821045
FeatureEnvy,CoordinateAscent,0.5714285714285714,0.8888888888888888,0.35714285714285715,1.0,0.17857142857142858,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3125,0.125,0.5807823129251701,nan,nan,0.6666666666666666,1.4285714285714286,1.470884084701538
FeatureEnvy,CoordinateAscent,0.6428571428571429,1.0,0.35714285714285715,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.5884353741496602,nan,nan,0.6666666666666666,1.4285714285714286,1.5082218647003174
FeatureEnvy,CoordinateAscent,0.4827586206896552,0.7368421052631579,0.3793103448275862,1.0,0.20689655172413793,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.25,0.5004105090311992,nan,nan,0.6904761904761905,1.5476190476190477,1.1440658569335938
FeatureEnvy,CoordinateAscent,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909091,0.20689655172413793,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.125,0.45114942528735663,nan,nan,0.6904761904761905,1.5476190476190477,1.2690796852111816
FeatureEnvy,CoordinateAscent,0.3333333333333333,0.5,0.25925925925925924,0.7,0.1111111111111111,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.6141975308641979,nan,nan,0.6428571428571429,1.3571428571428572,1.3149700164794922
FeatureEnvy,CoordinateAscent,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.18518518518518517,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.25,0.5577601410934746,nan,nan,0.6428571428571429,1.3571428571428572,1.1589252948760986
FeatureEnvy,CoordinateAscent,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1111111111111111,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3125,0.25,0.5824514991181658,nan,nan,0.6428571428571429,1.3571428571428572,1.5378897190093994
FeatureEnvy,CoordinateAscent,0.6428571428571429,1.0,0.35714285714285715,1.0,0.17857142857142858,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.6028911564625852,nan,nan,0.6666666666666666,1.4285714285714286,1.2542343139648438
FeatureEnvy,CoordinateAscent,0.6428571428571429,1.0,0.35714285714285715,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.0,0.5025510204081634,nan,nan,0.6666666666666666,1.4285714285714286,1.2541437149047852
FeatureEnvy,CoordinateAscent,0.5357142857142857,0.8333333333333334,0.2857142857142857,0.8,0.21428571428571427,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3125,0.125,0.5408163265306121,nan,nan,0.6666666666666666,1.4285714285714286,1.4561502933502197
FeatureEnvy,CoordinateAscent,0.6071428571428571,0.9444444444444444,0.35714285714285715,1.0,0.17857142857142858,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3125,0.0,0.5153061224489799,nan,nan,0.6666666666666666,1.4285714285714286,1.115468978881836
FeatureEnvy,CoordinateAscent,0.5357142857142857,0.8333333333333334,0.35714285714285715,1.0,0.21428571428571427,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.125,0.6224489795918368,nan,nan,0.6666666666666666,1.4285714285714286,1.0412147045135498
FeatureEnvy,CoordinateAscent,0.4827586206896552,0.7368421052631579,0.27586206896551724,0.7272727272727273,0.10344827586206896,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.25,0.5406403940886699,nan,nan,0.6904761904761905,1.5476190476190477,1.2237985134124756
FeatureEnvy,CoordinateAscent,0.6206896551724138,0.9473684210526315,0.3793103448275862,1.0,0.20689655172413793,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.1875,0.0,0.6120689655172415,nan,nan,0.6904761904761905,1.5476190476190477,1.0957496166229248
FeatureEnvy,CoordinateAscent,0.6296296296296297,0.9444444444444444,0.37037037037037035,1.0,0.18518518518518517,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.125,0.0,0.6124338624338624,nan,nan,0.6428571428571429,1.3571428571428572,1.120661735534668
