Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,NNR,0.6129032258064516,0.95,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.0,0.5555555555555556,1.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.5625,0.5,0.8252688172043007,0.9346939371787385,0.8895267558053348,0.21428571428571427,0.2619047619047619,0.29776549339294434
LongMethod,NNR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.25,0.6666666666666666,0.0,0.8571428571428571,0.0,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.7380952380952381,0.4375,0.625,0.8275729646697387,0.8848805772563538,0.8277367018915915,0.2619047619047619,0.2619047619047619,0.31116700172424316
LongMethod,NNR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.5,0.7777777777777778,0.0,0.8571428571428571,0.0,0.0,0.5,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.7857142857142857,0.5625,0.5,0.8375576036866359,0.901902969975058,0.8421732276134621,0.21428571428571427,0.21428571428571427,0.3031892776489258
LongMethod,NNR,0.5161290322580645,0.8,0.22580645161290322,0.5833333333333334,0.16129032258064516,0.8333333333333334,0.0,0.7777777777777778,0.0,0.8928571428571429,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.07142857142857142,0.03571428571428571,0.0,0.7619047619047619,0.4375,0.625,0.8337173579109062,0.8782683846120765,0.8241633836921342,0.2619047619047619,0.30952380952380953,0.3052175045013428
LongMethod,NNR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.6,1.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,1.0,0.8444444444444446,0.9600282547559039,0.935202762683204,0.11904761904761904,0.11904761904761904,0.29122376441955566
LongMethod,NNR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,0.8,1.0,0.7857142857142857,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.7857142857142857,0.6875,1.0,0.830952380952381,0.8665342607007663,0.8268413419505957,0.21428571428571427,0.21428571428571427,0.32114124298095703
LongMethod,NNR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.7,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8333333333333334,0.6875,0.875,0.8396825396825399,0.8996560162197655,0.8648574093903875,0.16666666666666666,0.16666666666666666,0.2922322750091553
LongMethod,NNR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,0.6,0.0,0.7857142857142857,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,1.0,0.0,0.21428571428571427,0.0,0.0,0.7142857142857143,0.5,0.875,0.8119047619047624,0.8436606961494586,0.7930171557900407,0.2857142857142857,0.2857142857142857,0.31546497344970703
LongMethod,NNR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,0.8,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.1,0.1,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.8571428571428571,0.625,0.875,0.8404761904761906,0.9391308073801178,0.8926235876881756,0.14285714285714285,0.14285714285714285,0.3281223773956299
LongMethod,NNR,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.20689655172413793,1.0,0.6666666666666666,0.7777777777777778,0.0,0.7142857142857143,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.0,0.6904761904761905,0.5625,0.875,0.8435960591133005,0.8416174463204797,0.7812307442944967,0.30952380952380953,0.30952380952380953,0.3340935707092285
LongMethod,NNR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.4444444444444444,0.0,0.7857142857142857,0.0,0.0,0.25,0.0,0.5555555555555556,0.0,0.0,1.0,0.0,0.21428571428571427,0.0,0.0,0.6904761904761905,0.4375,0.875,0.8390937019969277,0.837259255867093,0.7909320507331336,0.30952380952380953,0.30952380952380953,0.29421210289001465
LongMethod,NNR,0.5483870967741935,0.85,0.22580645161290322,0.5833333333333334,0.0967741935483871,0.5,0.0,0.7777777777777778,0.0,0.9285714285714286,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.7857142857142857,0.4375,0.625,0.8413978494623656,0.9277773473715885,0.8709995624018861,0.21428571428571427,0.21428571428571427,0.3021581172943115
LongMethod,NNR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.0,0.6666666666666666,0.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.2222222222222222,0.1111111111111111,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.375,0.5,0.8252688172043008,0.8848318920994569,0.8120598821694414,0.2857142857142857,0.2857142857142857,0.301163911819458
LongMethod,NNR,0.6451612903225806,1.0,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.4444444444444444,1.0,0.9285714285714286,0.0,0.0,0.25,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.8095238095238095,0.5,0.875,0.8406298003072197,0.9279963602810123,0.8989331499509894,0.19047619047619047,0.19047619047619047,0.317150354385376
LongMethod,NNR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,0.8,0.0,0.8571428571428571,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.8095238095238095,0.625,1.0,0.8309523809523811,0.8776688783163887,0.8166328036988978,0.21428571428571427,0.2619047619047619,0.30614686012268066
LongMethod,NNR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,0.7,1.0,0.8571428571428571,0.0,0.0,0.3333333333333333,0.0,0.3,0.0,0.0,0.0,0.0,0.10714285714285714,0.03571428571428571,0.0,0.8095238095238095,0.5625,1.0,0.830952380952381,0.8637047246278247,0.8291642533720267,0.21428571428571427,0.2619047619047619,0.31412696838378906
LongMethod,NNR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.6,0.0,0.8571428571428571,0.0,0.0,0.6666666666666666,0.0,0.3,0.1,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.7380952380952381,0.4375,0.5,0.8206349206349209,0.8812144642138758,0.8187213786444193,0.2619047619047619,0.2619047619047619,0.30718135833740234
LongMethod,NNR,0.6333333333333333,1.0,0.3,0.8181818181818182,0.13333333333333333,0.6666666666666666,0.0,0.8,1.0,0.8214285714285714,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.17857142857142858,0.0,0.0,0.7619047619047619,0.5,0.375,0.8317460317460316,0.887019372347044,0.8152005246407004,0.23809523809523808,0.23809523809523808,0.2991948127746582
LongMethod,NNR,0.6,0.9473684210526315,0.36666666666666664,1.0,0.2,1.0,1.0,0.9,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.75,0.875,0.8484126984126986,0.9144993835365703,0.8772014771190207,0.14285714285714285,0.14285714285714285,0.29421043395996094
LongMethod,NNR,0.6206896551724138,0.9473684210526315,0.3103448275862069,0.8181818181818182,0.1724137931034483,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.5,0.8928571428571429,0.0,0.0,0.3333333333333333,0.0,0.5555555555555556,0.1111111111111111,0.0,0.5,0.0,0.10714285714285714,0.0,0.0,0.7380952380952381,0.375,0.625,0.8427750410509031,0.8888285671778173,0.8377916972896092,0.2619047619047619,0.2619047619047619,0.37898802757263184
LongMethod,NNR,0.6451612903225806,1.0,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,1.0,0.7777777777777778,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.9047619047619048,0.75,0.875,0.8460061443932411,0.9669168797117631,0.9369105444209858,0.09523809523809523,0.09523809523809523,0.3081817626953125
LongMethod,NNR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.5555555555555556,0.0,0.8928571428571429,0.0,0.0,0.5,0.0,0.4444444444444444,0.0,0.0,1.0,0.0,0.10714285714285714,0.0,0.0,0.7619047619047619,0.4375,0.625,0.8452380952380951,0.901416854212648,0.8510432281063751,0.23809523809523808,0.23809523809523808,0.3071780204772949
LongMethod,NNR,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1935483870967742,1.0,0.25,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,0.75,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.8333333333333334,0.5625,0.75,0.8406298003072195,0.9366949767121985,0.8858257856184024,0.16666666666666666,0.16666666666666666,0.3121654987335205
